segment_type,segment_label,sentiment_bucket,account_days,avg_net_pnl,median_net_pnl,avg_trades,positive_day_rate
activity_segment,High activity,Fear,387,7700.669871608008,259.35132899999996,179.87596899224806,0.6925064599483204
activity_segment,High activity,Greed,481,4843.055051469588,583.359794,132.21829521829522,0.7692307692307693
activity_segment,High activity,Neutral,166,3976.016436517863,325.37312476,169.28313253012047,0.7650602409638554
activity_segment,Low activity,Fear,403,2480.7961965413383,0.0,33.80893300248139,0.49627791563275436
activity_segment,Low activity,Greed,693,3529.0934291815443,60.95132200000002,38.525252525252526,0.5411255411255411
activity_segment,Low activity,Neutral,210,2826.3222799245905,21.99219334,45.642857142857146,0.5095238095238095
consistency_segment,Consistent winners,Fear,488,5795.930443998546,183.51984149999998,128.9016393442623,0.694672131147541
consistency_segment,Consistent winners,Greed,764,2736.6193363044003,497.71527120499996,91.70026178010471,0.7552356020942408
consistency_segment,Consistent winners,Neutral,241,1520.3211341306192,295.354921,117.0,0.7468879668049793
consistency_segment,Inconsistent,Fear,302,3812.9339432025417,-0.11463090000000001,67.32781456953643,0.4271523178807947
consistency_segment,Inconsistent,Greed,410,6547.302568885659,-0.08475850000000001,49.35609756097561,0.4097560975609756
consistency_segment,Inconsistent,Neutral,135,6571.47417719,-0.322175,70.28888888888889,0.4
size_segment,Large size,Fear,296,9220.122111157358,241.930608,94.40202702702703,0.5574324324324325
size_segment,Large size,Greed,421,3196.030648533064,-0.01478382,41.3562945368171,0.47030878859857483
size_segment,Large size,Neutral,135,4628.333488859482,179.54008599999997,61.49629629629629,0.5851851851851851
size_segment,Small size,Fear,494,2531.9108554977342,84.164635,111.93117408906883,0.6133603238866396
size_segment,Small size,Greed,753,4554.637879345633,362.262404,96.79150066401063,0.7264276228419655
size_segment,Small size,Neutral,241,2608.8024325730257,150.030013,121.9253112033195,0.6431535269709544
